id,transit_score,walkscore,hood,crime,serious crime,prostitution,family vs single,expensiveness,Age,active,arts,nightlife,restaurants,shopping
250017,51.0,92.1904761905,Ballard,-0.0941285222394,-0.0219323149286,0.0877943663344,-0.109656405809,-0.0108195859676,0.0430189089645,79.0,41.0,59.0,149.0,199.0
250050,53.96,61.32,Beacon Hill,-0.0804427025808,0.00963409013769,0.519037619899,0.113373284619,-0.115576626826,0.0668507718658,75.0,47.0,32.0,179.0,170.0
250146,60.3,71.5,Brighton,0.00823661551537,-0.0158226881416,0.0686685035554,0.109788152525,-0.140686328162,0.023822139631,18.0,9.0,2.0,26.0,72.0
250149,40.2222222222,35.7777777778,Broadmoor,0.0733577987383,-0.0219323149286,-0.109201658292,0.0464541077727,0.114901956063,0.203689412819,29.0,13.0,4.0,5.0,86.0
250206,65.65,84.95,Capitol Hill,-0.490331473533,-0.0198957726663,0.339154033844,-0.0564145509539,0.0652069529546,-0.0585353648975,128.0,74.0,137.0,200.0,200.0
250383,52.4666666667,79.7333333333,Crown Hill,0.0572244177866,-0.0219323149286,-0.0884385223857,0.0050326784469,-0.0188650063468,0.0234516616572,25.0,10.0,6.0,10.0,84.0
250692,58.3043478261,83.652173913,Fremont,-0.0520670126858,-0.0219323149286,0.125056210442,-0.125414004788,0.0791527938424,-0.175616553047,98.0,50.0,39.0,98.0,187.0
250714,47.875,71.625,Georgetown,0.0218926338923,-0.0117496036169,-0.0280099491538,-0.1043172179,0.0132078100833,-0.0298460290535,38.0,31.0,20.0,74.0,129.0
250780,53.3913043478,75.8695652174,Green Lake,-0.000888380856983,-0.0198957726663,0.00662638790827,-0.0405527238791,0.0606925363389,-0.0766252307622,57.0,14.0,14.0,42.0,121.0
250788,52.652173913,80.1739130435,Greenwood,-0.0640491495375,0.216343129765,0.218960451894,-0.0219690662247,-0.0216336452802,-0.0576515113813,48.0,24.0,22.0,57.0,134.0
250801,50.3043478261,60.0869565217,Haller Lake,-0.0258852118388,0.951559950536,0.0409749536125,0.0280595098575,-0.0825035404715,0.0797509378587,34.0,11.0,5.0,53.0,192.0
250939,61.625,79.375,Interbay,0.0519097762033,-0.0219323149286,-0.0883062115083,-0.0690043863619,0.0300230931699,-0.0246200546912,112.0,31.0,37.0,121.0,199.0
251100,39.95,53.3,Laurelhurst,0.0706891036754,-0.0219323149286,-0.0890654147201,0.145478208633,0.278542738537,0.0227421620565,36.0,9.0,4.0,7.0,89.0
251170,46.8,73.75,Loyal Heights,0.0230911882116,-0.0219323149286,-0.044825192445,0.0531640484005,0.0184899257245,-0.01215733799,27.0,10.0,6.0,10.0,87.0
251186,34.2173913043,71.2173913043,Madison Park,0.0613887098789,-0.0219323149286,-0.0922545330969,0.0235831280273,0.280008902031,0.204986419059,32.0,10.0,7.0,15.0,97.0
